ID Number,COMFUND,COMPRO1,COMPRO2,DATASTRUC,WEBAPP1,DBMSYS1,DATACOM,SOFTENG,PROFETH,PRACTIC,PSOC2012
1002335,85,79,87,90,91,82,85,88,84,91,213 - COMPUTER PROFESSIONALS
1100222,89,88,93,96,96,95,87,95,89,94,215 - ENGINEERS AND RELATED PROFESSIONALS
1100805,82,79,77,85,84,75,78,79,84,89,341 - FINANCE AND SALES ASSOCIATE PROFESSIONALS
1100971,88,84,81,82,88,80,84,81,84,89,342 - BUSINESS SERVICES AGENTS AND TRADE BROKERS
1101041,75,78,77,78,85,75,84,76,80,82,131 - GENERAL MANAGERS/MANAGING-PROPRIETORS
1101094,77,75,78,75,77,78,80,75,83,87,123 - SPECIALIZED MANAGERS
1101152,87,88,90,94,95,97,87,90,88,94,213 - COMPUTER PROFESSIONALS
1101589,75,77,75,85,81,79,78,79,80,84,241 - BUSINESS PROFESSIONALS
1200245,84,81,86,78,80,86,75,81,80,80,213 - COMPUTER PROFESSIONALS
1200405,83,81,75,75,75,75,80,81,83,83,131 - GENERAL MANAGERS/MANAGING-PROPRIETORS
1200733,82,76,82,80,80,75,80,79,81,92,131 - GENERAL MANAGERS/MANAGING-PROPRIETORS
1300034,80,83,79,88,86,81,80,82,81,85,"421 - CASHIERS, TELLERS AND RELATED CLERKS"
1300065,93,89,85,92,84,89,81,91,86,94,141 - SCHOOL SUPERVISORS AND PRINCIPALS
1300152,88,88,90,91,92,84,83,89,83,94,312 - COMPUTER ASSISTANTS AND COMPUTER EQUIPMENT CONTROLLERS
1300163,77,82,77,83,84,78,82,78,79,82,411 - SECRETARIES AND KEYBOARD-OPERATING CLERKS
1300178,89,91,89,85,79,81,78,85,78,86,419 - OTHER OFFICE CLERKS 
1300369,81,80,82,84,84,80,80,83,80,92,213 - COMPUTER PROFESSIONALS
1300464,93,88,90,92,88,87,86,84,85,94,419 - OTHER OFFICE CLERKS 
1300639,98,96,95,96,86,95,86,93,92,95,213 - COMPUTER PROFESSIONALS
1300741,75,80,81,77,84,75,78,77,77,85,213 - COMPUTER PROFESSIONALS
1300752,80,82,90,86,83,75,80,78,79,84,411 - SECRETARIES AND KEYBOARD-OPERATING CLERKS
1300774,78,78,76,81,75,75,81,82,83,83,312 - COMPUTER ASSISTANTS AND COMPUTER EQUIPMENT CONTROLLERS
1300843,87,80,80,87,86,75,81,82,80,88,342 - BUSINESS SERVICES AGENTS AND TRADE BROKERS
1300933,76,82,79,78,85,84,78,81,78,87,"421 - CASHIERS, TELLERS AND RELATED CLERKS"
1300952,75,75,77,82,75,75,79,80,75,84,215 - ENGINEERS AND RELATED PROFESSIONALS
1301169,93,88,93,93,86,91,87,89,85,91,213 - COMPUTER PROFESSIONALS
1301216,83,84,98,77,80,78,78,85,83,91,215 - ENGINEERS AND RELATED PROFESSIONALS
1301235,84,81,78,84,94,87,79,83,86,90,"231 - COLLEGE, UNIVERSITY AND HIGHER EDUCATION TEACHING PROFESSIONALS"
1301356,85,79,80,78,75,79,86,91,81,94,213 - COMPUTER PROFESSIONALS
